"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","440","API test","firefox","Mon Jan 13 23:50:35 IST 2025","passed","Mon Jan 13 23:50:36 IST 2025","","tests\apiTest.spec.ts","",""
"","130","API test","chromium","Mon Jan 13 23:50:35 IST 2025","passed","Mon Jan 13 23:50:36 IST 2025","","tests\apiTest.spec.ts","",""
